Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange Amount,Binance,OKX,Coinbase,Bybit,Exchange,Description
EVMOS,Evmos / Tharsis Labs,,"Nov 02, 2022",Seed,27000000,--,0.03,15260000.0,34580000.0,5,0,0,0,0,,EVM Hub of Cosmos
,Kollider,,"Oct 27, 2022",Seed,2350000,--,,,,0,0,0,0,0,,Cryptocurrency derivative exchange on Lightning Network
TIA,Celestia,,"Oct 20, 2022",Series A,55000000,1000000000,6.47,1240000000.0,6680000000.0,24,1,0,1,0,,Modular consensus and data availability network
,Light Protocol,,"Oct 18, 2022",Seed,4500000,--,,,,0,0,0,0,0,,The Privacy Layer for Solana
,Tapio Protocol,,"Oct 17, 2022",Seed,4000000,--,,,,0,0,0,0,0,,Synthetic asset protocol
,Pine Street Labs,,"Oct 14, 2022",--,6000000,--,,,,0,0,0,0,0,,A non-custodial API for managing wallets
UNI,Uniswap,,"Oct 13, 2022",Series B,165000000,1660000000,10.15,6090000000.0,10150000000.0,47,1,0,1,0,,Decentralized trading protocol
,Aspen Creek Digital Corporation,,"Sep 27, 2022",Series A,8000000,--,,,,0,0,0,0,0,,Renewable Bitcoin mining operator
,Yellow Card,,"Sep 19, 2022",Series B,40000000,--,,,,0,0,0,0,0,,Cryptocurrency exchange
,HotStreak,,"Sep 08, 2022",Series A,9000000,--,,,,0,0,0,0,0,,Daily fantasy sports game
,Slide,,"Sep 08, 2022",Seed,12300000,--,,,,0,0,0,0,0,,The full web3 user experience stack
,Vespene Energy,,"Aug 09, 2022",--,4300000,--,,,,0,0,0,0,0,,Bitcoin mining company
,Veridise,,"Jul 27, 2022",Seed,4700000,--,,,,0,0,0,0,0,,Hardening blockchain security with formal methods
,DSCVR,,"Jul 25, 2022",Seed,9000000,--,,,,0,0,0,0,0,,Web3 social media platform
,Sunscreen,,"Jul 18, 2022",Seed,4650000,--,,,,0,0,0,0,0,,Privacy engine of the new web
,Hologram,,"Jul 14, 2022",Seed,6500000,--,,,,0,0,0,0,0,,Virtual avatar firm
,Common,,"May 24, 2022",--,20000000,--,,,,0,0,0,0,0,,Cross-functional governance and community management platform
,Satori,,"May 13, 2022",Seed,10000000,--,,,,0,0,0,0,0,,On-chain derivatives protocol
,Branch,,"May 12, 2022",Seed,12500000,--,,,,0,0,0,0,0,,Building next-gen captivating social games in web3
,Crusoe Energy,,"Apr 21, 2022",Series C,350000000,--,,,,0,0,0,0,0,,Green energy company
,Nomad,,"Apr 12, 2022",Seed,22000000,225000000,,,,0,0,0,0,0,,Cross-chain interoperability protoco
,Quai Network,,"Mar 25, 2022",--,8000000,--,,,,0,0,0,0,0,,Open-source Proof-of-Work blockchain network
,Allora,,"Mar 22, 2022",Series A2,22000000,--,,,,0,0,0,0,0,,Decentralized AI platform
,Ponto,,"Mar 17, 2022",Seed,20000000,--,,,,0,0,0,0,0,,Regulated payment networking infrastructure
,Gauntlet,,"Mar 15, 2022",Series B,23800000,1000000000,,,,0,0,0,0,0,,Simulation platform for on-chain risk management
,DB DAO,,"Mar 08, 2022",Seed,6850000,--,,,,0,0,0,0,0,,A decentralized protocol for community owned databases
,Space Runners,,"Mar 07, 2022",Seed,10000000,--,,,,0,0,0,0,0,,Fashion Metaverse
,Espresso Systems,,"Mar 07, 2022",Seed,32000000,--,,,,0,0,0,0,0,,High throughput EVM compatible privacy blockchain
PLY,Aurigami,,"Feb 15, 2022",--,9500000,47500000,0.00017,702910.0,1750000.0,0,0,0,0,1,,"Lend, borrow, and earn with ease on Aurora"
AXL,Axelar,,"Feb 15, 2022",Series B,35000000,1000000000,0.6229,433530000.0,700950000.0,19,1,0,1,0,,Decentralized cross-chain communication network
,Ntropika Labs,,"Feb 14, 2022",--,12000000,--,,,,0,0,0,0,0,,Research and Development team specializing  in Web3
ASTR,Astar,,"Jan 28, 2022",Strategic,22000000,--,0.068,393220000.0,586000000.0,26,1,1,0,0,,Multi-chain smart contract platform
,Polymarket,,2022,Series A,25000000,--,,,,0,0,0,0,0,,"An unbiased, real-time prediction market"
BBS,BBS Network,,"Dec 06, 2021",Seed,1500000,--,0.032,17990000.0,31800000.0,0,0,0,0,0,,Decentralized message board forum
,Structure,,"Dec 02, 2021",--,20000000,150000000,,,,0,0,0,0,0,,Global mobile-first financial platform
,Anoma Network,,"Nov 17, 2021",--,26000000,260000000,,,,0,0,0,0,0,,"Intent-centric, privacy-preserving protocol"
SDL,Saddle Finance,,"Nov 11, 2021",Series A,7500000,--,5.1e-05,63300.0,146160.0,0,0,0,0,0,,Decentralized automated market maker
ASD,AscendEX,,"Nov 03, 2021",Series B,50000000,--,0.045,34040000.0,34350000.0,0,0,0,0,0,,Cryptocurrency exchange
SLND,Solend,,"Oct 27, 2021",--,6500000,--,0.447,17370000.0,46450000.0,4,0,0,0,0,,Decentralized lending-borrowing protocol
SOMM,Sommelier,,"Oct 20, 2021",--,23000000,--,0.038,11270000.0,19100000.0,2,0,0,0,0,,Coprocessor for Ethereum
,DELV,,"Oct 20, 2021",Series A,32000000,320000000,,,,0,0,0,0,0,,An open source protocol for fixed and variable yield markets
,Kresko,,"Oct 06, 2021",Seed,2350000,--,,,,0,0,0,0,0,,"Open platform for synthetic stocks, commodities, and crypto"
ORCA,Orca,,"Sep 22, 2021",Series A,18000000,188000000,1.8,91850000.0,180110000.0,10,0,0,1,0,,Solana-based automated market maker
,Prysm,,"Sep 22, 2021",Seed,3000000,--,,,,0,0,0,0,0,,A group ownership platform
DESO,DESO,,"Sep 21, 2021",--,200000000,--,18.32,162810000.0,198070000.0,4,0,0,1,0,,Decentralized social blockchain
AVAX,Avalanche,,"Sep 16, 2021",Financing after Listed,230000000,--,27.63,10870000000.0,19770000000.0,44,1,0,1,0,,Decentralized blockchain
,Bluefin,,"Sep 14, 2021",--,22800000,--,,,,0,0,0,0,0,,Decentralized perpetual contract protocol
,Credora,,"Sep 13, 2021",Series A,8000000,--,,,,0,0,0,0,0,,Infrastructure for institutional credit
PARA,Parallel Finance,,"Aug 31, 2021",Series A,22000000,150000000,,,,0,0,0,0,0,,DeFi super DApp protocol
ARB,Arbitrum / Offchain Labs,,"Aug 31, 2021",Series B,120000000,1200000000,0.7952,2560000000.0,7950000000.0,40,1,0,1,0,,Ethereum Layer2 scaling solution
,CoinDCX,,"Aug 10, 2021",Series C,90000000,--,,,,0,0,0,0,0,,India cryptocurrency exchange
,Matrixport,,"Aug 02, 2021",Series C,100000000,1000000000,,,,0,0,0,0,0,,Digital asset financial services platforms
,Valora,,"Jul 27, 2021",Series A,20000000,--,,,,0,0,0,0,0,,Mobile crypto wallet for  Celo
,Thesis,,"Jul 22, 2021",Series A,21000000,--,,,,0,0,0,0,0,,Cryptocurrency venture studio
NYM,NYM,,"Jul 16, 2021",Series A,6000000,--,0.1365,108340000.0,132710000.00000001,14,0,1,0,0,,Building the next generation of privacy infrastructure
SAIL,Clipper,,"Jul 13, 2021",--,4000000,--,0.0084,3770000.0,10420000.0,2,0,0,0,1,,An exchange focused on small traders
,Nifty's,,"Jul 12, 2021",Seed,10000000,--,,,,0,0,0,0,0,,Collect eco-friendly NFTs from your favorite brands and creators
,SynFutures,,"Jun 17, 2021",Series A,14000000,--,,,,0,0,0,0,0,,Decentralized derivatives exchange
UX,UX Chain,,"Jun 15, 2021",Seed,6300000,48000000,0.0018,8000000.0,22210000.0,4,0,0,0,0,,Programmable lending blockchain
DYDX,dYdX,,"Jun 15, 2021",Series C,65000000,--,1.43,849170000.0,1100000000.0,6,1,1,0,0,,Decentralized Exchange
SOL,Solana,,"Jun 09, 2021",--,314000000,--,131.29,60560000000.0,77120000000.0,26,1,0,1,0,,High performance underlying blockchain
ALD,AladdinDAO,,"May 25, 2021",--,--,--,0.042,6400000.0,6390000.0,0,0,0,0,0,,Decentralized investment network
FWB,Friends With Benefits（FWB）,,"May 06, 2021",--,700000,--,4.58,2730000.0,4640000.0,0,0,0,0,0,,"DAO of cultural creators, thinkers, and builders"
,Genies,,"May 03, 2021",Series B,65000000,--,,,,0,0,0,0,0,,Avatar technology company
,Aleo,,"Apr 20, 2021",Series A,28000000,--,,,,0,0,0,0,0,,Platform for private applications
,Enso,,"Apr 13, 2021",Private,5000000,--,,,,0,0,0,0,0,,Universal DeFi dashboard
,Greenwood,,"Apr 06, 2021",Seed,2000000,--,,,,0,0,0,0,0,,Wealth management platform for decentralized finance
A5T,Alpha5,,"Mar 24, 2021",--,2500000,--,0.0075,0,372620.0,0,0,0,0,0,,Cryptocurrency derivatives exchange
MPL,Maple Finance,,"Mar 18, 2021",--,1400000,50000000,11.78,92180000.0,123780000.0,8,0,0,1,0,,On-chain institutional capital marketplace
,Overlay,,"Mar 18, 2021",Seed,2210000,--,,,,0,0,0,0,0,,Data streams trade protocol
,River Financial,,"Mar 11, 2021",Series A,12000000,--,,,,0,0,0,0,0,,Building financial services for Bitcoin
,Blogchain / Capsule Social,,"Mar 10, 2021",Seed,1500000,--,,,,0,0,0,0,0,,Web3 publishing platform
BADGER,Badger DAO,,"Mar 04, 2021",Financing after Listed,21000000,--,3.21,63940000.0,66890000.0,21,1,0,1,0,,Bringing bitcoin to DeFi
,DFX Finance,,"Feb 24, 2021",Seed,5000000,--,,,,0,0,0,0,0,,Decentralized foreign exchange protocol
CLV,CLV,,"Feb 19, 2021",Seed,3000000,--,0.053,53160000.0,52180000.0,16,1,0,1,0,,One-stop infrastructure platform for cross-chain
FRA,Fractal Network,,"Dec 26, 2020",--,$ Tens of Millions,--,0.001,12210000.0,22470000.0,1,0,0,0,0,,Decentralized smart contract platform
NOTE,Notional Finance,,"Oct 26, 2020",Seed,1300000,--,0.1006,4730000.0,10240000.0,0,0,0,0,0,,Decentralized lending-borrowing protocol
LQTY,Liquity,,"Sep 25, 2020",Seed,2400000,--,0.8759,84250000.0,88380000.0,18,1,0,1,0,,Decentralized lending-borrowing protocol
ACA,Acala,,"Aug 27, 2020",--,7000000,--,0.071,73200000.0,78290000.0,14,1,1,0,0,,Decentralized finance network
ROOK,ROOK,,"Jul 31, 2020",Seed,$ Tens of Millions,--,0.7818,582850.0,923240.0,2,0,0,0,0,,MEV solution
DDX,DerivaDEX,,"Jul 03, 2020",--,2700000,--,0.046,2500000.0,2750000.0,0,0,0,0,0,,Decentralized derivatives exchange
,Horizon Blockchain Games,,"Mar 07, 2020",Seed Plus,5000000,--,,,,0,0,0,0,0,,
STKR,StakerDAO,,"Feb 28, 2020",Series A,3000000,--,,,,0,0,0,0,0,,Building cross-chain financial assets in a compliant manner
,Amber Group,,"Feb 14, 2020",Series A,28000000,--,,,,0,0,0,0,0,,Digital asset platform
,Parsec,,"Jan 29, 2020",Seed,1250000,--,,,,0,0,0,0,0,,On-chain data analytics platform
COMP,Compound,,"Nov 14, 2019",Series A,25000000,--,49.35,412550000.0,493570000.0,41,1,0,1,0,,Decentralized lending platform
,CoinList,,"Oct 30, 2019",Pre-A,10000000,--,,,,0,0,0,0,0,,Token sale platform
CKB,Nervos Network,,"Oct 24, 2019",Public Sale,72000000,--,0.011,493150000.0,500780000.0,22,1,0,0,0,,Layer1 public chain ecosystem based on PoW consensus
,Juno,,"Oct 09, 2019",Seed,3000000,--,,,,0,0,0,0,0,,Compliant gateway to crypto and web3
NU,NuCypher,,"Oct 08, 2019",--,10670000,--,0.08,0,293180000.0,0,0,0,0,0,,Cryptographic Infrastructure for Privacy-Preserving Applications
,Linen,,"Sep 20, 2019",--,--,--,,,,0,0,0,0,0,,Self-custody Ethereum wallet
,CoinFLEX,,"Aug, 2019",--,10000000,--,,,,0,0,0,0,0,,Crypto exchange and yield platform
,Anchorage,,"Jul 10, 2019",Series B,40000000,--,,,,0,0,0,0,0,,Crypto custodian for institutional investors
BLD,Agoric,,"May 14, 2019",Seed,4000000,35000000,0.086,56850000.0,98390000.0,3,0,0,0,0,,Layer 1 protocol
CELO,Celo,,"Apr 03, 2019",--,30000000,--,0.5909,318830000.0,590930000.0,28,1,0,1,0,,Mobile-first public chain
MINA,Mina,,"Apr, 2019",Series A,15000000,150000000,0.5699,639770000.0,666420000.0,26,1,0,1,0,,Lightweight Blockchain
,Dharma Labs,,"Feb 05, 2019",--,7000000,--,,,,0,0,0,0,0,,Cryptocurrency wallet company
KEEP,Keep Network,,"Dec, 2018",--,--,--,0.1118,61380000.0,115790000.0,0,0,0,0,0,,Privacy-centric public chain infrastructure
,Bloqboard,,"Nov 05, 2018",--,1200000,--,,,,0,0,0,0,0,,Don-custodial digital asset lending platform
,Coinbase,,"Oct 30, 2018",Series E,300000000,8000000000,,,,0,0,0,0,0,,Cryptocurrency exchange
,Paradigm,,"Oct 16, 2018",Seed,--,--,,,,0,0,0,0,0,,A Decentralized Relay Protocol
SMH,Spacemesh,,"Sep 06, 2018",Series A,15000000,--,1.76,75780000.0,69930000.0,0,0,0,0,0,,Open-source programmable cryptocurrency platform
,MyCrypto,,"Aug 30, 2018",Series A,4000000,--,,,,0,0,0,0,0,,Ethereum Wallet Manager Tools
LUNA,Terra,,"Aug 29, 2018",--,32000000,--,0.4352,336550000.0,516480000.0,28,1,1,0,0,,Decentralized financial infrastructure
ICP,Internet Computer / Dfinity,,"Aug 28, 2018",--,102000000,2000000000,8.2,3810000000.0,4260000000.0,30,1,0,1,0,,Open-source blockchain network
HNS,Handshake,,"Aug 02, 2018",--,10200000,--,0.017,11040000.0,37870000.0,1,0,0,0,0,,Decentralized naming and certificate authority
ROSE,Oasis Network,,"Jul 09, 2018",Private,45000000,--,0.093,624810000.0,930670000.0,19,1,0,1,0,,Decentralized Layer1 network based on PoS consensus
,Haja Networks,,"Jun 12, 2018",--,--,--,,,,0,0,0,0,0,,A decentralized protocol for community owned databases
OGO,Origo Network,,"Jun, 2018",--,--,--,,,,0,0,0,0,0,,The Privacy Preserving Platform for Decentralized Applications
STRK,StarkNet,,"May 10, 2018",Seed,6000000,--,0.728,946630000.0,7280000000.0,29,1,0,1,0,,decentralized ZK-Rollup
,Basis,,"Apr 18, 2018",ICO,133000000,--,,,,0,0,0,0,0,,Stable cryptocurrency protocol
MKR,MakerDAO,,"Dec 16, 2017",--,12000000,--,0,2250000000.0,2440000000.0,42,1,0,1,0,,Decentralized lending platform
DOT,Polkadot,,"Oct 17, 2017",ICO,140000000,--,5.66,8150000000.0,8150000000.0,46,1,0,1,0,,Cross-chain protocol
KIN,Kin,,"Aug 30, 2017",Private,50000000,--,1.3e-05,38350000.0,37810000.0,9,0,0,0,0,,The Community for the digital world
ZRX,0x,,"May 01, 2017",--,--,--,0.3605,305580000.0,360570000.0,32,1,0,1,0,,"Open source, decentralized transaction infrastructure"
,Ripple,,,,,,,,,0,0,0,0,0,,International remittance solution
,Horizo​​n Blockchain Games,,,,,,,,,0,0,0,0,0,,Game studio and blockchain infrastructure company
,Bittensor,,,,,,,,,0,0,0,0,0,,Blockchain-based machine learning network
,Bit.com,,,,,,,,,0,0,0,0,0,,Cryptocurrency exchange
,Oneshot,,,,,,,,,0,0,0,0,0,,A protocol for carbon credit verification
,Mel,,,,,,,,,0,0,0,0,0,,clean-slate Layer1
,Alta,,,,,,,,,0,0,0,0,0,,The new generation financial service provider
,Moola Market,,,,,,,,,0,0,0,0,0,,Decentralized lending-borrowing protocol
